pH,C,M,Y,K
8.01,29.49967511,0,24.66351063,57.75294118
8.02,29.36906756,0,24.32533036,57.85882353
8.03,29.23780203,0,23.9854464,57.96470588
8.04,29.10587355,0,23.64384587,58.07058824
8.05,28.97327707,0,23.30051571,58.17647059
8.06,28.84000752,0,22.95544275,58.28235294
8.07,28.70605975,0,22.6086137,58.38823529
8.08,28.57142857,0,22.26001512,58.49411765
8.09,28.43610874,0,21.90963342,58.6
8.1,28.30009497,0,21.55745489,58.70588235
8.11,28.16338189,0,21.20346568,58.81176471
8.12,28.02596411,0,20.84765178,58.91764706
8.13,27.88783616,0,20.48999904,59.02352941
8.14,27.74899252,0,20.13049319,59.12941176
8.15,27.60942761,0,19.76911977,59.23529412
8.16,27.4691358,0,19.4058642,59.34117647
8.17,27.3281114,0,19.04071173,59.44705882
8.18,27.18634865,0,18.67364747,59.55294118
8.19,27.04384174,0,18.30465636,59.65882353
8.2,26.9005848,0,17.9337232,59.76470588
8.21,26.75657188,0,17.5608326,59.87058824
8.22,26.61179698,0,17.18596904,59.97647059
8.23,26.46625405,0,16.80911681,60.08235294
8.24,26.31993696,0,16.43026005,60.18823529
8.25,26.17283951,0,16.04938272,60.29411765
8.26,26.02495544,0,15.66646861,60.4
8.27,25.87627842,0,15.28150134,60.50588235
8.28,25.72680207,0,14.89446436,60.61176471
8.29,25.57651992,0,14.50534092,60.71764706
8.3,25.42542543,0,14.11411411,60.82352941
8.31,25.27351199,0,13.72076684,60.92941176
8.32,25.12077295,0,13.3252818,61.03529412
8.33,24.96720153,0,12.92764154,61.14117647
8.34,24.81279093,0,12.52782837,61.24705882
8.35,24.65753425,0,12.12582445,61.35294118
8.36,24.5014245,0,11.72161172,61.45882353
8.37,24.34445465,0,11.31517192,61.56470588
8.38,24.18661756,0,10.9064866,61.67058824
8.39,24.02790602,0,10.49553709,61.77647059
8.4,23.86831276,0,10.08230453,61.88235294
8.41,23.70783039,0,9.666769834,61.98823529
8.42,23.54645148,0,9.248913718,62.09411765
8.43,23.38416848,0,8.828716672,62.2
8.44,23.22097378,0,8.406158968,62.30588235
8.45,23.05685968,0,7.981220657,62.41176471
8.46,22.89181837,0,7.553881565,62.51764706
8.47,22.72584199,0,7.124121288,62.62352941
8.48,22.55892256,0,6.691919192,62.72941176
8.49,22.39105202,0,6.257254405,62.83529412
8.5,22.22222222,0,5.82010582,62.94117647
8.51,22.05242492,0,5.380452085,63.04705882
8.52,21.88165177,0,4.938271605,63.15294118
8.53,21.70989433,0,4.493542534,63.25882353
8.54,21.53714408,0,4.046242775,63.36470588
8.55,21.36339238,0,3.596349973,63.47058824
8.56,21.18863049,0,3.143841516,63.57647059
8.57,21.01284958,0,2.688694525,63.68235294
8.58,20.83604072,0,2.230885857,63.78823529
8.59,20.65819485,0,1.770392093,63.89411765
8.6,20.47930283,0,1.307189542,64
8.61,20.2993554,0,0.841254234,64.10588235
8.62,20.1183432,0,0.372561911,64.21176471
8.63,20.0153711,0.098814229,0,64.28235294
8.64,20.21043402,0.569925471,0,64.21960784
8.65,20.404814,1.039387309,0,64.15686275
8.66,20.59851464,1.507208388,0,64.09411765
8.67,20.79153947,1.973397296,0,64.03137255
8.68,20.98389203,2.43796256,0,63.96862745
8.69,21.17557584,2.900912647,0,63.90588235
8.7,21.36659436,3.362255965,0,63.84313725
8.71,21.55695106,3.822000866,0,63.78039216
8.72,21.74664937,4.280155642,0,63.71764706
8.73,21.93569271,4.736728528,0,63.65490196
8.74,22.12408445,5.191727704,0,63.59215686
8.75,22.31182796,5.64516129,0,63.52941176
8.76,22.49892658,6.097037355,0,63.46666667
8.77,22.68538363,6.547363909,0,63.40392157
8.78,22.8712024,6.996148909,0,63.34117647
8.79,23.05638616,7.443400256,0,63.27843137
8.8,23.24093817,7.8891258,0,63.21568627
8.81,23.42486164,8.333333333,0,63.15294118
8.82,23.6081598,8.776030599,0,63.09019608
8.83,23.79083581,9.217225286,0,63.02745098
8.84,23.97289284,9.656925032,0,62.96470588
8.85,24.15433404,10.09513742,0,62.90196078
8.86,24.33516252,10.53186999,0,62.83921569
8.87,24.51538137,10.96713021,0,62.77647059
8.88,24.69499369,11.40092554,0,62.71372549
8.89,24.87400252,11.83326333,0,62.65098039
8.9,25.0524109,12.26415094,0,62.58823529
8.91,25.23022185,12.69359565,0,62.5254902
8.92,25.40743836,13.12160468,0,62.4627451
8.93,25.58406341,13.54818523,0,62.4
8.94,25.76009996,13.97334444,0,62.3372549
8.95,25.93555094,14.3970894,0,62.2745098
8.96,26.11041926,14.81942715,0,62.21176471
8.97,26.28470783,15.24036469,0,62.14901961
8.98,26.45841953,15.65990898,0,62.08627451
8.99,26.63155721,16.07806691,0,62.02352941
9,26.8,16.49,0,61.96
9.01,26.6665,16.5604,0,61.8737
9.02,26.533,16.6308,0,61.7874
9.03,26.3995,16.7012,0,61.7011
9.04,26.266,16.7716,0,61.6148
9.05,26.1325,16.842,0,61.5285
9.06,25.999,16.9124,0,61.4422
9.07,25.8655,16.9828,0,61.3559
9.08,25.732,17.0532,0,61.2696
9.09,25.5985,17.1236,0,61.1833
9.1,25.465,17.194,0,61.097
9.11,25.3315,17.2644,0,61.0107
9.12,25.198,17.3348,0,60.9244
9.13,25.0645,17.4052,0,60.8381
9.14,24.931,17.4756,0,60.7518
9.15,24.7975,17.546,0,60.6655
9.16,24.664,17.6164,0,60.5792
9.17,24.5305,17.6868,0,60.4929
9.18,24.397,17.7572,0,60.4066
9.19,24.2635,17.8276,0,60.3203
9.2,24.13,17.898,0,60.234
9.21,23.9965,17.9684,0,60.1477
9.22,23.863,18.0388,0,60.0614
9.23,23.7295,18.1092,0,59.9751
9.24,23.596,18.1796,0,59.8888
9.25,23.4625,18.25,0,59.8025
9.26,23.329,18.3204,0,59.7162
9.27,23.1955,18.3908,0,59.6299
9.28,23.062,18.4612,0,59.5436
9.29,22.9285,18.5316,0,59.4573
9.3,22.795,18.602,0,59.371
9.31,22.6615,18.6724,0,59.2847
9.32,22.528,18.7428,0,59.1984
9.33,22.3945,18.8132,0,59.1121
9.34,22.261,18.8836,0,59.0258
9.35,22.1275,18.954,0,58.9395
9.36,21.994,19.0244,0,58.8532
9.37,21.8605,19.0948,0,58.7669
9.38,21.727,19.1652,0,58.6806
9.39,21.5935,19.2356,0,58.5943
9.4,21.46,19.306,0,58.508
9.41,21.3265,19.3764,0,58.4217
9.42,21.193,19.4468,0,58.3354
9.43,21.0595,19.5172,0,58.2491
9.44,20.926,19.5876,0,58.1628
9.45,20.7925,19.658,0,58.0765
9.46,20.659,19.7284,0,57.9902
9.47,20.5255,19.7988,0,57.9039
9.48,20.392,19.8692,0,57.8176
9.49,20.2585,19.9396,0,57.7313
9.5,20.125,20.01,0,57.645
9.51,19.9915,20.0804,0,57.5587
9.52,19.858,20.1508,0,57.4724
9.53,19.7245,20.2212,0,57.3861
9.54,19.591,20.2916,0,57.2998
9.55,19.4575,20.362,0,57.2135
9.56,19.324,20.4324,0,57.1272
9.57,19.1905,20.5028,0,57.0409
9.58,19.057,20.5732,0,56.9546
9.59,18.9235,20.6436,0,56.8683
9.6,18.79,20.714,0,56.782
9.61,18.6565,20.7844,0,56.6957
9.62,18.523,20.8548,0,56.6094
9.63,18.3895,20.9252,0,56.5231
9.64,18.256,20.9956,0,56.4368
9.65,18.1225,21.066,0,56.3505
9.66,17.989,21.1364,0,56.2642
9.67,17.8555,21.2068,0,56.1779
9.68,17.722,21.2772,0,56.0916
9.69,17.5885,21.3476,0,56.0053
9.7,17.455,21.418,0,55.919
9.71,17.3215,21.4884,0,55.8327
9.72,17.188,21.5588,0,55.7464
9.73,17.0545,21.6292,0,55.6601
9.74,16.921,21.6996,0,55.5738
9.75,16.7875,21.77,0,55.4875
9.76,16.654,21.8404,0,55.4012
9.77,16.5205,21.9108,0,55.3149
9.78,16.387,21.9812,0,55.2286
9.79,16.2535,22.0516,0,55.1423
9.8,16.12,22.122,0,55.056
9.81,15.9865,22.1924,0,54.9697
9.82,15.853,22.2628,0,54.8834
9.83,15.7195,22.3332,0,54.7971
9.84,15.586,22.4036,0,54.7108
9.85,15.4525,22.474,0,54.6245
9.86,15.319,22.5444,0,54.5382
9.87,15.1855,22.6148,0,54.4519
9.88,15.052,22.6852,0,54.3656
9.89,14.9185,22.7556,0,54.2793
9.9,14.785,22.826,0,54.193
9.91,14.6515,22.8964,0,54.1067
9.92,14.518,22.9668,0,54.0204
9.93,14.3845,23.0372,0,53.9341
9.94,14.251,23.1076,0,53.8478
9.95,14.1175,23.178,0,53.7615
9.96,13.984,23.2484,0,53.6752
9.97,13.8505,23.3188,0,53.5889
9.98,13.717,23.3892,0,53.5026
9.99,13.5835,23.4596,0,53.4163
10,13.45,23.53,0,53.33
10.01,13.4515,23.6307,0,53.3065
10.02,13.453,23.7314,0,53.283
10.03,13.4545,23.8321,0,53.2595
10.04,13.456,23.9328,0,53.236
10.05,13.4575,24.0335,0,53.2125
10.06,13.459,24.1342,0,53.189
10.07,13.4605,24.2349,0,53.1655
10.08,13.462,24.3356,0,53.142
10.09,13.4635,24.4363,0,53.1185
10.1,13.465,24.537,0,53.095
10.11,13.4665,24.6377,0,53.0715
10.12,13.468,24.7384,0,53.048
10.13,13.4695,24.8391,0,53.0245
10.14,13.471,24.9398,0,53.001
10.15,13.4725,25.0405,0,52.9775
10.16,13.474,25.1412,0,52.954
10.17,13.4755,25.2419,0,52.9305
10.18,13.477,25.3426,0,52.907
10.19,13.4785,25.4433,0,52.8835
10.2,13.48,25.544,0,52.86
10.21,13.4815,25.6447,0,52.8365
10.22,13.483,25.7454,0,52.813
10.23,13.4845,25.8461,0,52.7895
10.24,13.486,25.9468,0,52.766
10.25,13.4875,26.0475,0,52.7425
10.26,13.489,26.1482,0,52.719
10.27,13.4905,26.2489,0,52.6955
10.28,13.492,26.3496,0,52.672
10.29,13.4935,26.4503,0,52.6485
10.3,13.495,26.551,0,52.625
10.31,13.4965,26.6517,0,52.6015
10.32,13.498,26.7524,0,52.578
10.33,13.4995,26.8531,0,52.5545
10.34,13.501,26.9538,0,52.531
10.35,13.5025,27.0545,0,52.5075
10.36,13.504,27.1552,0,52.484
10.37,13.5055,27.2559,0,52.4605
10.38,13.507,27.3566,0,52.437
10.39,13.5085,27.4573,0,52.4135
10.4,13.51,27.558,0,52.39
10.41,13.5115,27.6587,0,52.3665
10.42,13.513,27.7594,0,52.343
10.43,13.5145,27.8601,0,52.3195
10.44,13.516,27.9608,0,52.296
10.45,13.5175,28.0615,0,52.2725
10.46,13.519,28.1622,0,52.249
10.47,13.5205,28.2629,0,52.2255
10.48,13.522,28.3636,0,52.202
10.49,13.5235,28.4643,0,52.1785
10.5,13.525,28.565,0,52.155
10.51,13.5265,28.6657,0,52.1315
10.52,13.528,28.7664,0,52.108
10.53,13.5295,28.8671,0,52.0845
10.54,13.531,28.9678,0,52.061
10.55,13.5325,29.0685,0,52.0375
10.56,13.534,29.1692,0,52.014
10.57,13.5355,29.2699,0,51.9905
10.58,13.537,29.3706,0,51.967
10.59,13.5385,29.4713,0,51.9435
10.6,13.54,29.572,0,51.92
10.61,13.5415,29.6727,0,51.8965
10.62,13.543,29.7734,0,51.873
10.63,13.5445,29.8741,0,51.8495
10.64,13.546,29.9748,0,51.826
10.65,13.5475,30.0755,0,51.8025
10.66,13.549,30.1762,0,51.779
10.67,13.5505,30.2769,0,51.7555
10.68,13.552,30.3776,0,51.732
10.69,13.5535,30.4783,0,51.7085
10.7,13.555,30.579,0,51.685
10.71,13.5565,30.6797,0,51.6615
10.72,13.558,30.7804,0,51.638
10.73,13.5595,30.8811,0,51.6145
10.74,13.561,30.9818,0,51.591
10.75,13.5625,31.0825,0,51.5675
10.76,13.564,31.1832,0,51.544
10.77,13.5655,31.2839,0,51.5205
10.78,13.567,31.3846,0,51.497
10.79,13.5685,31.4853,0,51.4735
10.8,13.57,31.586,0,51.45
10.81,13.5715,31.6867,0,51.4265
10.82,13.573,31.7874,0,51.403
10.83,13.5745,31.8881,0,51.3795
10.84,13.576,31.9888,0,51.356
10.85,13.5775,32.0895,0,51.3325
10.86,13.579,32.1902,0,51.309
10.87,13.5805,32.2909,0,51.2855
10.88,13.582,32.3916,0,51.262
10.89,13.5835,32.4923,0,51.2385
10.9,13.585,32.593,0,51.215
10.91,13.5865,32.6937,0,51.1915
10.92,13.588,32.7944,0,51.168
10.93,13.5895,32.8951,0,51.1445
10.94,13.591,32.9958,0,51.121
10.95,13.5925,33.0965,0,51.0975
10.96,13.594,33.1972,0,51.074
10.97,13.5955,33.2979,0,51.0505
10.98,13.597,33.3986,0,51.027
10.99,13.5985,33.4993,0,51.0035
11,13.6,33.6,0,50.98
