pH,C,M,Y,K
2.78,0,45.0908,70.4432,1.3604
2.79,0,44.9894,70.3976,1.3522
2.8,0,44.888,70.352,1.344
2.81,0,44.7866,70.3064,1.3358
2.82,0,44.6852,70.2608,1.3276
2.83,0,44.5838,70.2152,1.3194
2.84,0,44.4824,70.1696,1.3112
2.85,0,44.381,70.124,1.303
2.86,0,44.2796,70.0784,1.2948
2.87,0,44.1782,70.0328,1.2866
2.88,0,44.0768,69.9872,1.2784
2.89,0,43.9754,69.9416,1.2702
2.9,0,43.874,69.896,1.262
2.91,0,43.7726,69.8504,1.2538
2.92,0,43.6712,69.8048,1.2456
2.93,0,43.5698,69.7592,1.2374
2.94,0,43.4684,69.7136,1.2292
2.95,0,43.367,69.668,1.221
2.96,0,43.2656,69.6224,1.2128
2.97,0,43.1642,69.5768,1.2046
2.98,0,43.0628,69.5312,1.1964
2.99,0,42.9614,69.4856,1.1882
3,0,42.86,69.44,1.18
3.01,0,42.6492,69.5189,1.2858
3.02,0,42.4384,69.5978,1.3916
3.03,0,42.2276,69.6767,1.4974
3.04,0,42.0168,69.7556,1.6032
3.05,0,41.806,69.8345,1.709
3.06,0,41.5952,69.9134,1.8148
3.07,0,41.3844,69.9923,1.9206
3.08,0,41.1736,70.0712,2.0264
3.09,0,40.9628,70.1501,2.1322
3.1,0,40.752,70.229,2.238
3.11,0,40.5412,70.3079,2.3438
3.12,0,40.3304,70.3868,2.4496
3.13,0,40.1196,70.4657,2.5554
3.14,0,39.9088,70.5446,2.6612
3.15,0,39.698,70.6235,2.767
3.16,0,39.4872,70.7024,2.8728
3.17,0,39.2764,70.7813,2.9786
3.18,0,39.0656,70.8602,3.0844
3.19,0,38.8548,70.9391,3.1902
3.2,0,38.644,71.018,3.296
3.21,0,38.4332,71.0969,3.4018
3.22,0,38.2224,71.1758,3.5076
3.23,0,38.0116,71.2547,3.6134
3.24,0,37.8008,71.3336,3.7192
3.25,0,37.59,71.4125,3.825
3.26,0,37.3792,71.4914,3.9308
3.27,0,37.1684,71.5703,4.0366
3.28,0,36.9576,71.6492,4.1424
3.29,0,36.7468,71.7281,4.2482
3.3,0,36.536,71.807,4.354
3.31,0,36.3252,71.8859,4.4598
3.32,0,36.1144,71.9648,4.5656
3.33,0,35.9036,72.0437,4.6714
3.34,0,35.6928,72.1226,4.7772
3.35,0,35.482,72.2015,4.883
3.36,0,35.2712,72.2804,4.9888
3.37,0,35.0604,72.3593,5.0946
3.38,0,34.8496,72.4382,5.2004
3.39,0,34.6388,72.5171,5.3062
3.4,0,34.428,72.596,5.412
3.41,0,34.2172,72.6749,5.5178
3.42,0,34.0064,72.7538,5.6236
3.43,0,33.7956,72.8327,5.7294
3.44,0,33.5848,72.9116,5.8352
3.45,0,33.374,72.9905,5.941
3.46,0,33.1632,73.0694,6.0468
3.47,0,32.9524,73.1483,6.1526
3.48,0,32.7416,73.2272,6.2584
3.49,0,32.5308,73.3061,6.3642
3.5,0,32.32,73.385,6.47
3.51,0,32.1092,73.4639,6.5758
3.52,0,31.8984,73.5428,6.6816
3.53,0,31.6876,73.6217,6.7874
3.54,0,31.4768,73.7006,6.8932
3.55,0,31.266,73.7795,6.999
3.56,0,31.0552,73.8584,7.1048
3.57,0,30.8444,73.9373,7.2106
3.58,0,30.6336,74.0162,7.3164
3.59,0,30.4228,74.0951,7.4222
3.6,0,30.212,74.174,7.528
3.61,0,30.0012,74.2529,7.6338
3.62,0,29.7904,74.3318,7.7396
3.63,0,29.5796,74.4107,7.8454
3.64,0,29.3688,74.4896,7.9512
3.65,0,29.158,74.5685,8.057
3.66,0,28.9472,74.6474,8.1628
3.67,0,28.7364,74.7263,8.2686
3.68,0,28.5256,74.8052,8.3744
3.69,0,28.3148,74.8841,8.4802
3.7,0,28.104,74.963,8.586
3.71,0,27.8932,75.0419,8.6918
3.72,0,27.6824,75.1208,8.7976
3.73,0,27.4716,75.1997,8.9034
3.74,0,27.2608,75.2786,9.0092
3.75,0,27.05,75.3575,9.115
3.76,0,26.8392,75.4364,9.2208
3.77,0,26.6284,75.5153,9.3266
3.78,0,26.4176,75.5942,9.4324
3.79,0,26.2068,75.6731,9.5382
3.8,0,25.996,75.752,9.644
3.81,0,25.7852,75.8309,9.7498
3.82,0,25.5744,75.9098,9.8556
3.83,0,25.3636,75.9887,9.9614
3.84,0,25.1528,76.0676,10.0672
3.85,0,24.942,76.1465,10.173
3.86,0,24.7312,76.2254,10.2788
3.87,0,24.5204,76.3043,10.3846
3.88,0,24.3096,76.3832,10.4904
3.89,0,24.0988,76.4621,10.5962
3.9,0,23.888,76.541,10.702
3.91,0,23.6772,76.6199,10.8078
3.92,0,23.4664,76.6988,10.9136
3.93,0,23.2556,76.7777,11.0194
3.94,0,23.0448,76.8566,11.1252
3.95,0,22.834,76.9355,11.231
3.96,0,22.6232,77.0144,11.3368
3.97,0,22.4124,77.0933,11.4426
